SUBJECT,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,PZ,T5',T6',O1',O2',"P3""","P4""","PZ""",OZ,I,"CB1""","CB2""",CB1,CB2
CBA,0,45.7898,-67.9291,31.1714,-23.4528,60.0924,16.0663,76.5306,6.337,28.6741,36.852,50.6768,129.8095,96.9972,53.1476,78.1524,35.3217,12.0171,-14.1287,90.5628,38.9879,48.1888,54.6921,3.6474,-10.5254,22.8592,30.5542,87.4719,62.2016,22.3438,29.8905,84.4206
CBA,1,45.2704,-66.6261,28.502,-21.2651,58.7803,18.4111,76.3571,6.7711,29.1059,36.59,54.6079,120.3893,97.6851,52.7183,77.1876,35.7621,12.1055,-13.8687,88.658,38.6405,48.3624,54.7786,3.5605,-10.5254,22.8592,30.4664,86.9528,62.7243,20.7046,29.1934,83.9845
CBA,2,45.1838,-65.7575,25.316,-17.8521,56.5061,20.4954,75.7497,7.2051,28.6741,36.0661,62.8119,97.0547,97.2552,50.8294,76.3104,36.2906,12.3706,-13.6953,87.3593,37.7722,47.9283,54.7786,2.9526,-10.7907,22.5116,29.9396,85.7415,60.8949,18.9793,27.9734,83.6357
CBA,3,45.6166,-63.9333,23.4216,-12.514,55.1065,21.1033,75.2291,7.3787,27.724,35.6295,70.6741,71.5594,94.7615,47.1374,75.8719,36.4668,13.5192,-13.782,86.2338,35.7751,47.1469,54.7786,2.171,-11.0561,21.9901,29.1494,84.0976,57.5844,17.3401,26.4919,83.374
CBA,4,45.1838,-63.1515,22.7328,-5.7757,54.4068,21.5375,74.2746,6.7711,25.5648,34.4942,73.1524,56.0895,89.86,41.213,74.3807,35.5859,14.6679,-14.3887,83.7229,32.3018,45.3235,54.0863,0.6079,-11.8521,21.034,27.6568,81.5885,52.5316,15.1834,24.0519,82.5019
CBA,5,43.1064,-63.8464,21.8717,1.4877,53.5321,23.1007,72.3657,5.2953,21.851,32.4857,70.2468,54.6203,84.4426,32.1977,70.7845,33.1196,14.933,-15.7756,79.3074,27.1786,41.7636,52.3556,-2.171,-13.5326,19.0349,25.1106,77.6951,45.8236,12.0777,19.2589,80.4961
CBA,6,39.3844,-65.5837,20.58,7.1759,52.1325,26.4008,69.8494,4.08,17.7918,30.3025,60.59,68.9667,79.7131,23.6975,66.2234,30.6532,14.5796,-17.4225,74.3723,23.0107,37.5959,50.6248,-5.471,-15.3016,16.9489,22.4766,73.8882,39.0285,9.2308,13.9431,78.4902
CBA,7,35.0564,-69.1452,18.8579,7.4384,50.6455,30.1351,68.2008,4.1668,15.6326,29.8659,46.233,79.5969,76.1015,20.6065,63.6797,30.3009,13.3425,-17.9426,71.4286,22.4897,35.078,50.6248,-7.2947,-15.6554,16.2535,21.7743,71.8117,35.1082,8.3681,11.4159,78.403
CBA,8,32.6328,-71.8381,18.5995,1.4877,50.5581,31.351,68.114,5.1217,15.2871,30.8265,33.1579,70.0902,74.2097,23.9551,63.592,31.6222,11.3102,-17.4225,71.5152,25.442,34.6438,51.8363,-7.3815,-14.8594,16.8619,22.4766,71.033,33.8886,8.8857,11.8516,79.5367
CBA,9,33.0656,-70.7088,20.8384,-7.2634,52.4824,28.4851,69.1552,5.7294,15.8053,31.7871,23.7574,60.9292,73.8658,31.6825,64.9954,33.2957,9.4546,-16.3824,73.6797,29.4363,35.3385,52.7883,-6.4263,-14.0633,17.818,23.4424,70.687,33.9757,8.7995,13.3331,79.8856
